pdf_name,pairs,avg_diff_pt,max_diff_pt,avg_X,max_X,avg_Y,max_Y,misalign_count,misalign_rate,verdict_x_only
cn_demo.pdf,1379,26.11030247731944,429.80911139497033,19.40083753932983,425.37091064453125,11.340085406507418,196.21176147460938,1107,0.8027556200145033,RED
cn_test.pdf,359,3.1513384323240166,13.965872990219651,0.7019102048741077,10.79400634765625,3.0214801246409295,10.5140380859375,25,0.06963788300835655,RED
fresh.pdf,1150,8.927015964976857,17.18405151367865,0.7643001490053923,3.1520156860351562,8.871315347422724,17.184051513671875,1150,1.0,YELLOW
hl_test.pdf,55,12.27039678710778,30.07196044925359,1.6117815191095526,2.548004150390625,12.099027876420454,30.07196044921875,55,1.0,RED
mk3.pdf,1250,8.584788755524391,17.18405151367865,0.7985163970947265,3.1520156860351562,8.523850518798827,17.184051513671875,1250,1.0,YELLOW
mkdoc.pdf,1250,8.584788755524391,17.18405151367865,0.7985163970947265,3.1520156860351562,8.523850518798827,17.184051513671875,1250,1.0,YELLOW
multi5.pdf,335,15.221350719752257,51.55200195316113,1.1824610695910098,9.456039428710938,15.12644243382696,51.552001953125,335,1.0,YELLOW
render_test.pdf,59,4.672530617572561,24.726013183598457,0.9390540688724841,6.897003173828125,4.5109304654396185,24.72601318359375,15,0.2542372881355932,YELLOW
sc2.pdf,166,12.46503856513356,23.628051757832207,0.9065115825239435,1.78204345703125,12.40895227639072,23.6280517578125,166,1.0,YELLOW
sc_test.pdf,166,12.46503856513356,23.628051757832207,0.9065115825239435,1.78204345703125,12.40895227639072,23.6280517578125,166,1.0,YELLOW
text_test.pdf,112,13.293640660480003,25.776000976580566,1.0390830721173967,2.0880126953125,13.22270747593471,25.7760009765625,112,1.0,YELLOW
ul.pdf,1250,8.584788755524391,17.18405151367865,0.7985163970947265,3.1520156860351562,8.523850518798827,17.184051513671875,1250,1.0,YELLOW
